-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	1	1	-777	-777	-777	-777	-777	-777	-888	-777	-777
-777	-777	-777	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	2	2	-777	-777	-777	-777	-777	-777	-777	-777	-777
-777	-777	-777	4	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	3	-777	-777	-777	-777	-777	-777	-777
-777	-777	-777	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	5	5	-777	-888	-777	-777	-777	-777	-777	-777	-777
-888	-888	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	6	6	-888	-777	-888	-888	-888	-777	-777	-888	-888
-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	7	8	-777	-777	-777	-777	-777	-777	-777	-777	-777
9	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-888	-777	-777	-777	-777	-777	-777	-777	-777
-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	11	10	-777	-777	-777	-777	-777	-777	-777
13	13	13	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	16	16	17	-777	14	12	-888	-777	-777	15	-888
-888	-888	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-888	-888	-888	-777	-888	18	-888	-777	-777	-888	-888
-888	-888	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-888	-888	-888	-777	19	-888	-888	-777	-777	-888	-888
21	21	21	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	21	21	21	-777	21	21	20	21	-777	21	21
-888	-888	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-888	-888	-888	-777	-888	-888	-888	-777	-777	22	-888
23	23	23	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	23	23	23	-777	23	23	-777	-777	-777	23	-888
24	24	24	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	24	24	24	-777	24	24	-777	-777	-777	24	25
26 	27	27	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-888	-777	-777	-777	-777	-777	-777	-777	-777
28	28	28	-888	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-777	-888	-777	-777	-777	-777	-777	-777	-777	-777
-777	-777	-777	30	-777	-777	-777	-777	29	29	29	29	29	29	-777	-777	30	-777	-777	-777	-777	29	-777	-777	-777
-888	-888	-888	-777	-777	-777	-777	-777	31	37	32	33	34	35	-777	-777	-777	-777	-777	-777	-777	36	-777	-777	-777
38	38	38	-777	-777	-777	-777	-777	-888	-888	-888	-888	-888	-888	-777	-777	-888	-777	-777	-777	-777	-888	-777	-777	-777
-777	-777	-777	41	39	40	-777	-777	41	41	41	41	41	41	-777	-777	41	-777	-777	-777	-777	41	-777	-777	-777
42	42	42	-777	-888	-888	-777	-777	-888	-888	-888	-888	-888	-888	-777	-777	-888	-777	-777	-777	-777	-888	-777	-777	-777
-777	-777	-777	45	45	45	43	44	45	45	45	45	45	45	-777	-777	45	-777	-777	-777	-777	45	-777	-777	-777
47	48	46	-888	-888	-888	-888	-888	-888	-888	-888	-888	-888	-888	-777	-777	-888	-777	-777	-777	-777	-888	-777	-777	-777
